좋았어	2248	ko
어디에	2243	ko
문을	2236	ko
맞지	2231	ko
어딨어	2226	ko
sign	2224	en
조지	2223	ko
아녜요	2221	ko
lucky	2221	en
저녁	2218	ko
됩니다	2218	ko
마요	2218	ko
somewhere	2218	en
생각엔	2213	ko
만들어	2208	ko
적어도	2205	ko
애들	2205	ko
bet	2201	en
잘했어	2198	ko
jesus	2191	en
longer	2189	en
calling	2185	en
괜찮은	2183	ko
생각은	2183	ko
위에	2183	ko
worked	2182	en
가끔	2180	ko
있었던	2178	ko
quiet	2177	en
잠시	2175	ko
looked	2174	en
알아서	2173	ko
곳에	2170	ko
집을	2170	ko
그렇지만	2170	ko
그레이	2168	ko
그럼요	2168	ko
less	2164	en
pull	2161	en
삶을	2160	ko
beat	2159	en
careful	2156	en
마음에	2155	ko
살고	2155	ko
coffee	2155	en
들고	2150	ko
return	2150	en
secret	2145	en
weeks	2138	en
그랬어	2135	ko
차를	2128	ko
weren	2126	en
옆에	2125	ko
아이가	2125	ko
date	2125	en
이번엔	2120	ko
저게	2120	ko
아빠는	2120	ko
괜찮을	2120	ko
seeing	2120	en
하자	2118	ko
알았는데	2115	ko
생각해요	2113	ko
없는데	2113	ko
생각하는	2110	ko
아니잖아	2110	ko
마지막으로	2110	ko
fall	2110	en
given	2109	en
ooh	2108	en
여자를	2102	ko
죽었어	2102	ko
fault	2102	en
straight	2101	en
멍청한	2100	ko
훌륭한	2095	ko
있었지	2095	ko
takes	2091	en
정도	2090	ko
베일리	2090	ko
준비가	2090	ko
남은	2090	ko
song	2089	en
있으니까	2087	ko
싫어요	2087	ko
future	2087	en
gentlemen	2083	en
입니다	2082	ko
영원히	2080	ko
엄청난	2077	ko
정신	2075	ko
loved	2071	en
changed	2071	en
계세요	2070	ko
하는지	2067	ko
좋을	2067	ko
있었죠	2062	ko
간다	2062	ko
road	2061	en
기회를	2060	ko
그대로	2060	ko
하나도	2060	ko
calm	2059	en
wonderful	2058	en
멈춰	2055	ko
필요가	2055	ko
도와줘	2052	ko
다음에	2052	ko
mad	2052	en
앞에서	2050	ko
turned	2050	en
drop	2048	en
뭐든	2045	ko
ladies	2044	en
밖으로	2042	ko
오는	2042	ko
learn	2042	en
step	2041	en
그렇다면	2040	ko
absolutely	2040	en
early	2039	en
미국	2037	ko
말라고	2037	ko
하지마	2035	ko
말한	2035	ko
테니까	2032	ko
앞에	2032	ko
explain	2028	en
처럼	2027	ko
저한테	2025	ko
거고	2025	ko
clean	2025	en
piece	2025	en
받아	2022	ko
그것도	2017	ko
요즘	2017	ko
믿어	2015	ko
뒤로	2015	ko
yesterday	2015	en
놈들이	2012	ko
throw	2012	en
picture	2006	en
land	2005	en
입고	2002	ko
feet	2002	en
보니	1999	ko
속에	1999	ko
잠시만요	1997	ko
소리야	1997	ko
들어봐	1997	ko
wonder	1993	en
questions	1993	en
자기야	1992	ko
speaking	1990	en
헤이	1989	ko
worth	1985	en
이해가	1982	ko
들어가	1979	ko
아버지는	1979	ko
않을거야	1977	ko
있소	1977	ko
자네는	1977	ko
모르겠지만	1977	ko
darling	1977	en
dude	1976	en
giving	1973	en
president	1971	en
eye	1970	en
누구도	1964	ko
어머니	1962	ko
특별한	1962	ko
좋겠어	1962	ko
quick	1960	en
그것은	1959	ko
관한	1957	ko
할게	1954	ko
여기는	1954	ko
언니	1952	ko
환자가	1952	ko
moving	1952	en
갈게	1949	ko
figure	1948	en
나야	1947	ko
제게	1944	ko
하루	1944	ko
state	1943	en
가세요	1939	ko
끔찍한	1939	ko
걸로	1939	ko
사랑	1937	ko
일도	1937	ko
아름다운	1937	ko
strong	1935	en
sam	1933	en
none	1931	en
amazing	1930	en
뭐요	1922	ko
받고	1917	ko
할거야	1912	ko
ones	1912	en
works	1907	en
씨발	1906	ko
돈이	1904	ko
그에게	1904	ko
뭔가를	1904	ko
act	1900	en
needed	1897	en
마음을	1896	ko
문제는	1891	ko
서둘러	1891	ko
못할	1891	ko
